WeekEndingDate,HBT,Attendances,Within4Hours,Over4Hours,Over8Hours,Over12Hours,BreachRate,Within4HoursPct,BreachedTarget,BoardName
2015-04-19,S08000017,859,804,55,2,0,0.0640279394644936,0.9359720605355064,1,Dumfries & Galloway
2015-04-19,S08000019,1187,1089,98,0,0,0.08256107834877843,0.9174389216512215,1,Forth Valley
2015-04-19,S08000020,1888,1793,95,5,0,0.05031779661016949,0.9496822033898306,1,Grampian
2015-04-19,S08000022,1010,938,72,3,0,0.07128712871287128,0.9287128712871288,1,Highland
2015-04-19,S08000024,4000,3849,151,11,0,0.03775,0.96225,0,Lothian
2015-04-19,S08000025,97,93,4,0,0,0.041237113402061855,0.9587628865979382,0,Orkney
2015-04-19,S08000026,155,153,2,0,0,0.012903225806451613,0.9870967741935484,0,Shetland
2015-04-19,S08000028,135,128,7,0,0,0.05185185185185185,0.9481481481481482,1,Western Isles
2015-04-19,S08000029,1169,1093,76,7,0,0.06501283147989735,0.9349871685201027,1,Fife
2015-04-19,S08000030,1387,1364,23,1,1,0.01658255227108868,0.9834174477289113,0,Tayside
2015-04-19,S08000031,7501,6447,1054,93,0,0.14051459805359284,0.8594854019464071,1,Greater Glasgow & Clyde
2015-04-19,S08000032,3513,3109,404,77,30,0.11500142328494165,0.8849985767150583,1,Lanarkshire
2015-04-26,S08000015,2368,1974,394,52,14,0.16638513513513514,0.8336148648648649,1,Ayrshire & Arran
2015-04-26,S08000016,539,509,30,0,0,0.055658627087198514,0.9443413729128015,1,Borders
2015-04-26,S08000017,865,847,18,1,0,0.020809248554913295,0.9791907514450867,0,Dumfries & Galloway
2015-04-26,S08000019,1199,1104,95,3,0,0.07923269391159299,0.920767306088407,1,Forth Valley
2015-04-26,S08000020,1919,1815,104,7,0,0.05419489317352788,0.9458051068264721,1,Grampian
2015-04-26,S08000022,1036,986,50,0,0,0.04826254826254826,0.9517374517374517,0,Highland
2015-04-26,S08000024,4042,3865,177,15,0,0.0437902028698664,0.9562097971301335,0,Lothian
2015-04-26,S08000025,86,86,0,0,0,0.0,1.0,0,Orkney
2015-04-26,S08000026,145,136,9,1,1,0.06206896551724138,0.9379310344827586,1,Shetland
2015-04-26,S08000028,118,115,3,0,0,0.025423728813559324,0.9745762711864406,0,Western Isles
2015-04-26,S08000029,1195,1148,47,2,0,0.03933054393305439,0.9606694560669456,0,Fife
2015-04-26,S08000030,1458,1424,34,0,0,0.023319615912208505,0.9766803840877915,0,Tayside
2015-04-26,S08000031,7586,6908,678,29,0,0.0893751647772212,0.9106248352227788,1,Greater Glasgow & Clyde
2015-04-26,S08000032,3709,3401,308,57,19,0.0830412510110542,0.9169587489889458,1,Lanarkshire
2015-05-03,S08000015,2153,1950,203,16,3,0.09428704133766837,0.9057129586623316,1,Ayrshire & Arran
2015-05-03,S08000016,470,445,25,0,0,0.05319148936170213,0.9468085106382979,1,Borders
2015-05-03,S08000017,858,821,37,0,0,0.04312354312354312,0.9568764568764568,0,Dumfries & Galloway
2015-05-03,S08000019,1096,1035,61,1,0,0.055656934306569344,0.9443430656934306,1,Forth Valley
2015-05-03,S08000020,1829,1696,133,8,0,0.07271733187534171,0.9272826681246583,1,Grampian
2015-05-03,S08000022,1040,990,50,5,0,0.04807692307692308,0.9519230769230769,0,Highland
2015-05-03,S08000024,3947,3826,121,7,0,0.030656194578160628,0.9693438054218394,0,Lothian
2015-05-03,S08000025,126,124,2,0,0,0.015873015873015872,0.9841269841269841,0,Orkney
2015-05-03,S08000026,168,164,4,0,0,0.023809523809523808,0.9761904761904762,0,Shetland
2015-05-03,S08000028,122,118,4,0,0,0.03278688524590164,0.9672131147540983,0,Western Isles
2015-05-03,S08000029,1134,1099,35,0,0,0.030864197530864196,0.9691358024691358,0,Fife
2015-05-03,S08000030,1345,1328,17,0,0,0.012639405204460967,0.9873605947955391,0,Tayside
2015-05-03,S08000031,7263,6505,758,28,0,0.1043645876359631,0.8956354123640369,1,Greater Glasgow & Clyde
2015-05-03,S08000032,3407,3228,179,15,0,0.05253889051951864,0.9474611094804813,1,Lanarkshire
2015-05-10,S08000015,2272,1936,336,59,16,0.14788732394366197,0.852112676056338,1,Ayrshire & Arran
2015-05-10,S08000016,542,530,12,0,0,0.02214022140221402,0.977859778597786,0,Borders
2015-05-10,S08000017,978,934,44,1,0,0.044989775051124746,0.9550102249488752,0,Dumfries & Galloway
2015-05-10,S08000019,1207,1094,113,19,0,0.0936205468102734,0.9063794531897266,1,Forth Valley
2015-05-10,S08000020,1874,1777,97,3,0,0.05176093916755603,0.948239060832444,1,Grampian
2015-05-10,S08000022,1160,1096,64,3,0,0.05517241379310345,0.9448275862068966,1,Highland
2015-05-10,S08000024,4027,3930,97,5,0,0.024087409982617332,0.9759125900173826,0,Lothian
2015-05-10,S08000025,112,111,1,0,0,0.008928571428571428,0.9910714285714286,0,Orkney
2015-05-10,S08000026,159,157,2,1,1,0.012578616352201259,0.9874213836477987,0,Shetland
2015-05-10,S08000028,124,122,2,0,0,0.016129032258064516,0.9838709677419355,0,Western Isles
2015-05-10,S08000029,1214,1177,37,1,0,0.030477759472817133,0.9695222405271828,0,Fife
2015-05-10,S08000030,1382,1366,16,0,0,0.011577424023154847,0.9884225759768451,0,Tayside
2015-05-10,S08000031,7300,6657,643,22,0,0.08808219178082191,0.9119178082191781,1,Greater Glasgow & Clyde
2015-05-10,S08000032,3612,3332,280,40,12,0.07751937984496124,0.9224806201550387,1,Lanarkshire
2015-05-17,S08000015,2279,1952,327,27,3,0.14348398420359806,0.8565160157964019,1,Ayrshire & Arran
2015-05-17,S08000016,489,472,17,0,0,0.034764826175869123,0.9652351738241309,0,Borders
2015-05-17,S08000017,825,802,23,0,0,0.027878787878787878,0.9721212121212122,0,Dumfries & Galloway
2015-05-17,S08000019,1168,1095,73,1,0,0.0625,0.9375,1,Forth Valley
2015-05-17,S08000020,1898,1839,59,4,1,0.03108535300316122,0.9689146469968388,0,Grampian
2015-05-17,S08000022,1112,1036,76,6,0,0.0683453237410072,0.9316546762589928,1,Highland
